Location,ZipCode,Center
"37.730497903,-122.426182434",94131,"(37.741797, -122.4378)"
"37.7148079128,-122.451626403",94112,"(37.720931, -122.44241)"
"37.7216087116,-122.466902723",94132,"(37.724231, -122.47958)"
"37.7836816237,-122.396055563",94105,"(37.789228, -122.3957)"
"37.7287188032,-122.440330423",94112,"(37.720931, -122.44241)"
"37.7304116197,-122.391291615",94124,"(37.732797, -122.39348)"
"37.7350951197,-122.383860147",94124,"(37.732797, -122.39348)"
"37.7866381315,-122.444410919",94115,"(37.786129, -122.43736)"
"37.7090554958,-122.442525962",94112,"(37.720931, -122.44241)"
"37.7749772613,-122.472434076",94118,"(37.782029, -122.46158)"
"37.7384598774,-122.431031907",94131,"(37.741797, -122.4378)"
"37.7256901689,-122.474961434",94132,"(37.724231, -122.47958)"
"37.7869123088,-122.459279822",94118,"(37.782029, -122.46158)"
"37.7773842095,-122.501731735",94121,"(37.778729, -122.49265)"
"37.8005348731,-122.445531122",94123,"(37.801028, -122.43836)"
"37.7797335029,-122.494933524",94121,"(37.778729, -122.49265)"
"37.7869713418,-122.425861481",94109,"(37.792778, -122.42188)"
"37.7932218232,-122.414473958",94108,"(37.792678, -122.40793)"
"37.7536868547,-122.407437332",94110,"(37.74873, -122.41545)"
"37.7755737116,-122.43368328",94117,"(37.770937, -122.44276)"
"37.7763785684,-122.461868626",94118,"(37.782029, -122.46158)"
"37.7643234317,-122.43170137",94114,"(37.758434, -122.43512)"
"37.751153834,-122.453680298",94143,"(37.76313, -122.458582)"
"37.7776943774,-122.49370998",94121,"(37.778729, -122.49265)"
"37.775860969,-122.405955118",94103,"(37.772329, -122.41087)"
"37.7965950043,-122.416842181",94109,"(37.792778, -122.42188)"
"37.7718772911,-122.412933982",94103,"(37.772329, -122.41087)"
"37.787806501,-122.412658073",94108,"(37.792678, -122.40793)"
"37.7268863343,-122.474232354",94132,"(37.724231, -122.47958)"
"37.742321693,-122.449891891",94131,"(37.741797, -122.4378)"
"37.7526170061,-122.439726499",94114,"(37.758434, -122.43512)"
"37.7447640116,-122.422371717",94110,"(37.74873, -122.41545)"
"37.7734818779,-122.484327895",94121,"(37.778729, -122.49265)"
"37.7197169663,-122.468510801",94132,"(37.724231, -122.47958)"
"37.7205665782,-122.484903848",94132,"(37.724231, -122.47958)"
"37.7598279172,-122.425920487",94114,"(37.758434, -122.43512)"
"37.7839848401,-122.39310907",94105,"(37.789228, -122.3957)"
"37.7427138225,-122.418372191",94110,"(37.74873, -122.41545)"
"37.7353049278,-122.388358369",94124,"(37.732797, -122.39348)"
"37.7797935037,-122.469490493",94118,"(37.782029, -122.46158)"
"37.7601784675,-122.489855547",94122,"(37.75838, -122.48478)"
"37.7829846992,-122.427587022",94102,"(37.779329, -122.41915)"
